"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"OPERA_L2_RTC-S1_T034-071767-IW3_20240101T010005Z_20240101T114027Z_S1A_30_v1.0","Sentinel-1A","C-SAR","IW","","51906","34","","","2024-01-01T12:18:25Z","RTC","2024-01-01T01:00:05Z","2024-01-01T01:00:08Z","32.09069498844616","74.26926285434074","","","","","","","","","","DESCENDING","https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T034-071767-IW3_20240101T010005Z_20240101T114027Z_S1A_30_v1.0_VH.tif","","","","","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"OPERA_L2_RTC-S1_T034-071767-IW2_20240101T010004Z_20240101T114027Z_S1A_30_v1.0","Sentinel-1A","C-SAR","IW","","51906","34","","","2024-01-01T12:06:59Z","RTC","2024-01-01T01:00:04Z","2024-01-01T01:00:07Z","32.019422793437485","75.14424969856903","","","","","","","","","","DESCENDING","https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T034-071767-IW2_20240101T010004Z_20240101T114027Z_S1A_30_v1.0_VH.tif","","","","","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"S1_071766_IW3_20240101T010002_VV_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T01:00:03Z","2024-01-01T01:00:06Z","32.24340366969614","74.30231791239818","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW3/VV/6.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71766","111489080","034_071766_IW3","6","2024-01-01T01:00:02Z","2439.5888733276","24617","IW3"
"S1_071766_IW3_20240101T010002_VH_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T01:00:03Z","2024-01-01T01:00:06Z","32.24340366969614","74.30231791239818","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW3/VH/6.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71766","111489080","034_071766_IW3","6","2024-01-01T01:00:02Z","2439.5888733276","24617","IW3"
"S1_071766_IW2_20240101T010001_VV_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T01:00:02Z","2024-01-01T01:00:05Z","32.1725904711299","75.17996061140738","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW2/VV/5.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71766","111489080","034_071766_IW2","5","2024-01-01T01:00:01Z","2438.6330393276","25482","IW2"
"S1_071766_IW2_20240101T010001_VH_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T01:00:02Z","2024-01-01T01:00:05Z","32.1725904711299","75.17996061140738","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW2/VH/5.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71766","111489080","034_071766_IW2","5","2024-01-01T01:00:01Z","2438.6330393276","25482","IW2"
"OPERA_L2_RTC-S1_T034-071766-IW3_20240101T010002Z_20240101T114027Z_S1A_30_v1.0","Sentinel-1A","C-SAR","IW","","51906","34","","","2024-01-01T12:13:11Z","RTC","2024-01-01T01:00:02Z","2024-01-01T01:00:05Z","32.256712627071195","74.30288530539161","","","","","","","","","","DESCENDING","https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T034-071766-IW3_20240101T010002Z_20240101T114027Z_S1A_30_v1.0_VH.tif","","","","","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"S1_071766_IW1_20240101T010000_VV_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T01:00:01Z","2024-01-01T01:00:04Z","32.09031942804361","76.08932741241443","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW1/VV/5.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71766","111489080","034_071766_IW1","5","2024-01-01T01:00:00Z","2437.6895388839","21571","IW1"
"S1_071766_IW1_20240101T010000_VH_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T01:00:01Z","2024-01-01T01:00:04Z","32.09031942804361","76.08932741241443","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW1/VH/5.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71766","111489080","034_071766_IW1","5","2024-01-01T01:00:00Z","2437.6895388839","21571","IW1"
"OPERA_L2_RTC-S1_T034-071766-IW2_20240101T010001Z_20240101T114027Z_S1A_30_v1.0","Sentinel-1A","C-SAR","IW","","51906","34","","","2024-01-01T12:00:17Z","RTC","2024-01-01T01:00:01Z","2024-01-01T01:00:04Z","32.18561933781517","75.17899191868896","","","","","","","","","","DESCENDING","https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T034-071766-IW2_20240101T010001Z_20240101T114027Z_S1A_30_v1.0_VH.tif","","","","","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"S1_071765_IW3_20240101T005959_VV_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T01:00:00Z","2024-01-01T01:00:03Z","32.40940408267854","74.33598798057183","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW3/VV/5.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71765","111489079","034_071765_IW3","5","2024-01-01T00:59:59Z","2436.830316773","24617","IW3"
"S1_071765_IW3_20240101T005959_VH_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T01:00:00Z","2024-01-01T01:00:03Z","32.40940408267854","74.33598798057183","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW3/VH/5.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71765","111489079","034_071765_IW3","5","2024-01-01T00:59:59Z","2436.830316773","24617","IW3"
"OPERA_L2_RTC-S1_T034-071766-IW1_20240101T010000Z_20240101T114027Z_S1A_30_v1.0","Sentinel-1A","C-SAR","IW","","51906","34","","","2024-01-01T11:52:20Z","RTC","2024-01-01T01:00:00Z","2024-01-01T01:00:03Z","32.10463543321363","76.07518744620839","","","","","","","","","","DESCENDING","https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T034-071766-IW1_20240101T010000Z_20240101T114027Z_S1A_30_v1.0_VH.tif","","","","","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"S1_071765_IW2_20240101T005958_VV_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T00:59:59Z","2024-01-01T01:00:02Z","32.33868431052523","75.21529126933179","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW2/VV/4.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71765","111489079","034_071765_IW2","4","2024-01-01T00:59:58Z","2435.874482773","25482","IW2"
"S1_071765_IW2_20240101T005958_VH_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T00:59:59Z","2024-01-01T01:00:02Z","32.33868431052523","75.21529126933179","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW2/VH/4.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71765","111489079","034_071765_IW2","4","2024-01-01T00:59:58Z","2435.874482773","25482","IW2"
